User ID;Name;Username;Bio;Location;Profile URL;Profile Image URL;Tweet Count;Follower Count;Following Count;Favorites Count;Media Count;Can DM;Created At;Verified;Blue Verified;Default Profile;Default Profile Image;Protected
1,82917E+18;Suka baca;suka_bacaa;;;https://x.com/suka_bacaa;https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;0;0;22;0;0;No;Thu Aug 29 15:01:35 +0000 2024;No;No;Yes;Yes;No
1,79257E+18;May Supriyanto;supriyanto96194;;;https://x.com/supriyanto96194;https://pbs.twimg.com/profile_images/1792574078546792448/CPQJbMPG_normal.jpg;2;0;50;1;0;No;Mon May 20 15:11:23 +0000 2024;No;No;Yes;No;No
1,82625E+18;Eka Hidayat;EkaHidayat79;;;https://x.com/EkaHidayat79;https://pbs.twimg.com/profile_images/1826245937246986240/j4TaGQka_normal.jpg;3;0;4;23;0;No;Wed Aug 21 13:10:10 +0000 2024;No;No;Yes;No;No
1,83102E+18;viyolette;preluvveedd;Preloved Fesyen wanita (pemakaian pribadi).  WA: 085819191776;DKI Jakarta, Indonesia;https://x.com/preluvveedd;https://pbs.twimg.com/profile_images/1831021929370918914/Br7aGOAW_normal.jpg;10;0;12;0;6;No;Tue Sep 03 17:28:29 +0000 2024;No;No;Yes;No;No
1,80332E+18;Abna_mfd23;AbnaMufid327010;;;https://x.com/AbnaMufid327010;https://pbs.twimg.com/profile_images/1803317636618657794/OryIux2e_normal.jpg;4;1;17;1;1;No;Wed Jun 19 06:41:43 +0000 2024;No;No;Yes;No;No
1,83102E+18;Dayat Nasution;DayatN94934;;;https://x.com/DayatN94934;https://pbs.twimg.com/profile_images/1831021184936484866/r5G7nzjv_normal.png;0;0;7;0;0;No;Tue Sep 03 17:27:23 +0000 2024;No;No;Yes;No;No
1,83102E+18;Ade Hendrawan;AdeHendraw91138;;;https://x.com/AdeHendraw91138;https://pbs.twimg.com/profile_images/1831019885348167684/tDGyZzJi_normal.png;0;0;38;0;0;No;Tue Sep 03 17:22:13 +0000 2024;No;No;Yes;No;No
1,76537E+18;"⋆˚ 𝜗zah𝜚˚⋆˚‧ 𐙚 ""❀""";loverswfts;hal hal baik datang padaku ⋆˚❀ʚଓ;Indonesia;https://x.com/loverswfts;https://pbs.twimg.com/profile_images/1817031544286154752/omJoguUK_normal.jpg;252;29;58;1883;4;No;Wed Mar 06 13:30:13 +0000 2024;No;No;Yes;No;No
1,03027E+18;2024hidupmakinberkah;beribadaah;pengen kaya;Kota Surabaya, Jawa Timur;https://x.com/beribadaah;https://pbs.twimg.com/profile_images/1776704680518950912/lVV94Kwz_normal.jpg;1599;42;219;2472;235;No;Fri Aug 17 01:53:15 +0000 2018;No;No;Yes;No;No
1,83102E+18;Satibi 05;Tiiboy_new;;Kota Cilegon, Banten;https://x.com/Tiiboy_new;https://pbs.twimg.com/profile_images/1831017681379827719/bxbVHLg6_normal.jpg;0;0;9;0;0;Yes;Tue Sep 03 17:13:28 +0000 2024;No;No;Yes;No;No
1,83102E+18;Alim Blekok;alimblekok;;;https://x.com/alimblekok;https://pbs.twimg.com/profile_images/1831018590327246849/kfxNyAXm_normal.png;0;0;1;0;0;No;Tue Sep 03 17:17:04 +0000 2024;No;No;Yes;No;No
1,83091E+18;Jae nuri;NuriJae76114;;;https://x.com/NuriJae76114;https://pbs.twimg.com/profile_images/1830907065138847745/FrbJkJKW_normal.png;0;1;59;0;0;Yes;Tue Sep 03 09:53:55 +0000 2024;No;No;Yes;No;No
1,83102E+18;Arif Ridwan;adebinjar;;;https://x.com/adebinjar;https://pbs.twimg.com/profile_images/1831017060861947904/FlAAGW_Y_normal.png;1;1;14;0;0;No;Tue Sep 03 17:11:00 +0000 2024;No;No;Yes;No;No
483641462;haniff;ahorahanif;todavía tenemos mañana;;https://x.com/ahorahanif;https://pbs.twimg.com/profile_images/1831020491987152896/SKi4NINf_normal.jpg;165;85;197;3428;15;No;Sun Feb 05 07:18:32 +0000 2012;No;No;Yes;No;No
602864861;padeal;fadhilahafizh;26 otw s.hum~;;https://x.com/fadhilahafizh;https://pbs.twimg.com/profile_images/1357460373109022720/5MBcds_x_normal.jpg;183;54;130;114;5;No;Fri Jun 08 16:00:07 +0000 2012;No;No;No;No;Yes
1,56495E+18;Ahmad Fauzi;AhmadFa40694901;;;https://x.com/AhmadFa40694901;https://pbs.twimg.com/profile_images/1564955047204532224/Ge_Hi5UK_normal.png;8;114;2866;208;0;No;Wed Aug 31 12:35:33 +0000 2022;No;No;Yes;No;No
1,79941E+18;PersepsiResepsi24;MattKilau24;;;https://x.com/MattKilau24;https://pbs.twimg.com/profile_images/1799411572894498816/m-WCi-0B_normal.jpg;3;28;57;146;0;No;Sat Jun 08 11:57:44 +0000 2024;No;No;Yes;No;No
1,83102E+18;Eghyy Eghy;EghyyE89902;;;https://x.com/EghyyE89902;https://pbs.twimg.com/profile_images/1831016895182708736/W7A3I75D_normal.png;0;2;67;0;0;No;Tue Sep 03 17:10:20 +0000 2024;No;No;Yes;No;No
1,82521E+18;Eron dambo Manggi;manggi97555;;;https://x.com/manggi97555;https://pbs.twimg.com/profile_images/1825210494963290112/ZLzq_cX-_normal.png;0;0;31;0;0;Yes;Sun Aug 18 16:37:47 +0000 2024;No;No;Yes;No;No
1,83102E+18;Finza Raditya;FinzaRadit70528;;;https://x.com/FinzaRadit70528;https://pbs.twimg.com/profile_images/1831017392522305538/9afnGPwi_normal.png;6;0;37;2;0;No;Tue Sep 03 17:12:19 +0000 2024;No;No;Yes;No;Yes
1,83102E+18;Gayo Lues;GayoLues1117728;;;https://x.com/GayoLues1117728;https://pbs.twimg.com/profile_images/1831017252239646720/ZZpHpDqS_normal.png;0;0;4;0;0;No;Tue Sep 03 17:11:46 +0000 2024;No;No;Yes;No;No
1,83048E+18;vickyelhafizh;vickyelhafizh;;;https://x.com/vickyelhafizh;https://pbs.twimg.com/profile_images/1830541196336439296/0xVwDZCX_normal.jpg;2;5;215;198;0;No;Mon Sep 02 05:43:48 +0000 2024;No;No;Yes;No;No
1,61683E+18;jombi;jombi89002774;;;https://x.com/jombi89002774;https://pbs.twimg.com/profile_images/1616833221953744900/zav5Li6v_normal.jpg;5;0;3;613;0;No;Sat Jan 21 16:20:53 +0000 2023;No;No;Yes;No;No
1,41855E+18;MILAN;nasrullahilhamm;https://t.co/u5b7BIbZsH;Jambi, Indonesia;https://x.com/nasrullahilhamm;https://pbs.twimg.com/profile_images/1658720771324411904/U2cMFEJq_normal.jpg;1132;5;170;42200;169;Yes;Fri Jul 23 12:49:33 +0000 2021;No;No;Yes;No;Yes
1,80113E+18;Andri Maulana;AndriMaula30214;;;https://x.com/AndriMaula30214;https://pbs.twimg.com/profile_images/1801132511445364736/LyX1KuJU_normal.png;4;4;110;2;1;No;Thu Jun 13 06:00:28 +0000 2024;No;No;Yes;No;No
1,81075E+18;Muhammad doni firmansyah;doniiiw;;;https://x.com/doniiiw;https://pbs.twimg.com/profile_images/1810748642053214208/7ioo1tIR_normal.png;0;0;10;2;0;No;Tue Jul 09 18:51:32 +0000 2024;No;No;Yes;No;No
1,83096E+18;Diki Iskandar;DikiIskand52707;;;https://x.com/DikiIskand52707;https://pbs.twimg.com/profile_images/1830965026334875652/ZOKYM0AJ_normal.png;0;0;21;0;0;Yes;Tue Sep 03 13:44:14 +0000 2024;No;No;Yes;No;No
1,83101E+18;coomoot;coomooot;;;https://x.com/coomooot;https://pbs.twimg.com/profile_images/1831014242339991552/nviaYfwL_normal.jpg;0;0;1;0;0;No;Tue Sep 03 16:56:51 +0000 2024;No;No;Yes;No;No
1,83101E+18;omowidjopari Omowi;omowidjopa84104;;;https://x.com/omowidjopa84104;https://pbs.twimg.com/profile_images/1831013307609948163/2HJ72d0C_normal.png;0;0;43;0;0;No;Tue Sep 03 16:56:05 +0000 2024;No;No;Yes;No;No
