"reply_id","user_id","full_text","view_count","bookmark_count","favorite_count","reply_count","retweet_count","quote_count","is_quote_status","lang","bookmarked","favorited","retweeted","created_at","user_mentions","name","username","first_name","last_name","location","bio","website","websites","followers_count","following_count","media_count","statuses_count","favourites_count","listed_count","fast_followers_count","normal_followers_count","followed_by","following","profile_banner_url","profile_url","avatar_url","verified","is_blue_verified","can_dm","can_media_tag","user_created_at"
"1830261510133997828","790016888721985537","@aniesbaswedan sederhana tapi semua paslon ga bisa, nangis dikit saya pak liat banyak orang yg dukung pak anies. tapi mengapa semesta tida mendukung☹️","81",0,0,0,0,0,false,"in",false,false,false,"1/9/2024, 22.08.43","aniesbaswedan","a.m","antarani_hana","a.m","","","what's up?","","",831,521,170,5085,244,0,0,831,,false,"https://pbs.twimg.com/profile_banners/790016888721985537/1704074813","https://www.x.com/antarani_hana","https://pbs.twimg.com/profile_images/1741641613892595712/myvu5O6B_normal.jpg",false,false,true,false,"23/10/2016, 09.27.58"
"1830231614284251351","1680571924655767552","@aniesbaswedan Pak @aniesbaswedan bahwa politik pencitraan sudah selesai dan rakyat sudah cerdas","38",0,0,0,0,0,false,"in",false,false,false,"1/9/2024, 20.09.55","aniesbaswedan; aniesbaswedan","Jakarta Educating City","jakeducity5","Jakarta","Educating City","Jakarta Timur, DKI Jakarta","https://t.co/SJaOeP300H","http://www.sekolahkebangsaanindonesia.id","http://www.sekolahkebangsaanindonesia.id
http://www.kamproindonesia.co.id",10,120,123,897,15,0,0,10,,false,,"https://www.x.com/jakeducity5","https://pbs.twimg.com/profile_images/1685096403222380544/UPqvCjq2_normal.jpg",false,false,false,false,"16/7/2023, 20.36.31"
"1830131250776195118","632533830","@aniesbaswedan Sehat selalu pak, banyak merindukan bapak jadi pemimpin lagi","104",0,0,0,0,0,false,"in",false,false,false,"1/9/2024, 13.31.07","aniesbaswedan","Apri Wandi","apriwandi","Apri","Wandi","Indonesia","Radiohead","","",32,14,22,349,17,0,0,32,,false,"https://pbs.twimg.com/profile_banners/632533830/1623473239","https://www.x.com/apriwandi","https://pbs.twimg.com/profile_images/1651321570529538048/J-_Jyv7V_normal.jpg",false,false,false,false,"11/7/2012, 08.01.34"
"1830178932634890359","17184908","@aniesbaswedan https://t.co/CFvN03Bv4Y","1068",0,1,3,0,0,false,"qme",false,false,false,"1/9/2024, 16.40.35","aniesbaswedan","ᐻเ૮ƶ GeoHam","viczgeoham","ᐻเ૮ƶ","GeoHam","Central Java, Indonesia","GeoHam Official","https://linktr.ee/geoham","https://linktr.ee/geoham",1273,491,339,4727,7216,2,0,1273,,false,"https://pbs.twimg.com/profile_banners/17184908/1715725537","https://www.x.com/viczgeoham","https://pbs.twimg.com/profile_images/1594737015982915586/xsNFyK57_normal.jpg",false,false,true,false,"5/11/2008, 15.13.31"
"1830148497729077719","108255807","@aniesbaswedan @opposite6892 Pak @aniesbaswedan keren. https://t.co/HRAtIp6Tk8","695",0,2,1,0,0,false,"in",false,false,false,"1/9/2024, 14.39.39","aniesbaswedan; opposite6892; aniesbaswedan","Along","awanxbaia","Along","","","Muslim. Suami dari seorang istri dan ayah dari dua orang anak.
Adventure is my life.
Let justice be done though the heavens fall.","http://www.facebook.com/yudi.aryadi","http://www.facebook.com/yudi.aryadi",880,875,2249,116264,52883,33,0,880,,false,"https://pbs.twimg.com/profile_banners/108255807/1517192463","https://www.x.com/awanxbaia","https://pbs.twimg.com/profile_images/1578741080912461826/aurPTha3_normal.jpg",false,false,true,false,"25/1/2010, 17.30.08"
"1830182464603767285","170171658","@aniesbaswedan Salam PEOPLE dari JOGJA","810",0,7,1,1,0,false,"in",false,false,false,"1/9/2024, 16.54.37","aniesbaswedan","kang herry z","herry_zudianto","kang","herry z","Kota Jogja,DIY,Indonesia","Kepala Pelayan Kota Jogja 2001-2011; Pembina BW UII; Founder Margaria Grup; BHACA AWARD 2010.
 #Urip Iku Tansah Urup","","",36009,709,1585,25108,6953,58,0,36009,,false,"https://pbs.twimg.com/profile_banners/170171658/1407313331","https://www.x.com/herry_zudianto","https://pbs.twimg.com/profile_images/1304308179006701575/CJCgCqpA_normal.jpg",false,false,false,false,"24/7/2010, 10.20.54"
"1831207295952519579","1656208115803770880","Break Free from Traditional Footwear!

Our barefoot shoes designed to mimic the natural movement of your feet, they promote better posture, stronger foot muscles, and reduced foot pain. From casual strolls to epic adventures, our shoes have got you covered.","4949",0,0,0,0,0,false,"en",false,false,false,"4/9/2024, 12.46.56","","Canles","canlesofficial","Canles","","Vancouver, Canada","👣 Engineered for walking | 👟 Comfy & versatile footwear for life's adventures | 🌿 Breathable, lightweight designs","https://canles.com/","https://canles.com/",4844,2,400,1029,0,54,0,4844,,false,"https://pbs.twimg.com/profile_banners/1656208115803770880/1721211254","https://www.x.com/canlesofficial","https://pbs.twimg.com/profile_images/1666678663084150784/41oyvaiH_normal.jpg",false,false,false,false,"10/5/2023, 15.03.23"
"1830270433398276141","1621109760266493954","@aniesbaswedan Pak Anies share video begini bikin Mulyono ga enak makan, ga enak tidur, ga lancar bab 🤣🤣🤣🤣
I love you full Abah 🫶🏻","247",0,5,1,0,0,false,"in",false,false,false,"1/9/2024, 22.44.10","aniesbaswedan","Vanilla_Almadina","AntarticaSnowWW","Vanilla_Almadina","","São João da Madeira, Portugal","#GakFollowPorno | Porn lover jngan add akun ini|

orang awam yg cuma bisa like & share | akun suka-suka tergantung mood | gk suka basa-basi dn basi basi lainnya","","",3544,2753,2684,18044,39293,1,0,3544,,false,"https://pbs.twimg.com/profile_banners/1621109760266493954/1724984105","https://www.x.com/AntarticaSnowWW","https://pbs.twimg.com/profile_images/1816999351170007042/m5UxIqO9_normal.jpg",false,false,false,false,"2/2/2023, 18.35.06"
"1830491202761978243","1807231139012300800","@aniesbaswedan Semakin ABAH di dzalimi, maka ABAH akan semakin terang cahayanya, percayalah ada rencana yang lebih besar yang dipersiapkan oleh Allah SWT untuk ABAH, Amin YRA","61",0,1,0,0,0,false,"in",false,false,false,"2/9/2024, 13.21.26","aniesbaswedan","goromo showa","GoromoShowa","goromo","showa","","","","",3,9,0,1321,1943,0,0,3,,false,,"https://www.x.com/GoromoShowa","https://pbs.twimg.com/profile_images/1807234825297993728/daYNBXSU_normal.jpg",false,false,false,false,"30/6/2024, 08.54.50"
"1830118154162618473","1125235286810566656","@aniesbaswedan Kenapa terlihat natural sekali..
Kok gak ada mode setingan kayak pak mulyono yah..","817",0,6,0,0,0,false,"in",false,false,false,"1/9/2024, 12.39.04","aniesbaswedan","Be_a_Man","joppieadi999","Be_a_Man","","","baik hati","","",98,438,1757,12604,4747,0,0,98,,false,,"https://www.x.com/joppieadi999","https://pbs.twimg.com/profile_images/1428967051389923330/9W7XjAPT_normal.jpg",false,false,false,false,"6/5/2019, 10.06.13"
"1830211541712736653","1741896784526614528","@aniesbaswedan foto yg sama temen saya @puckpawww kok ga dipost pak?","172",1,0,1,0,0,false,"in",false,false,false,"1/9/2024, 18.50.09","aniesbaswedan; puckpawww","Ari","orangsingpus","Ari","","","Apake udah gede ini","","",13,49,10,1138,12204,0,0,13,,false,"https://pbs.twimg.com/profile_banners/1741896784526614528/1709032791","https://www.x.com/orangsingpus","https://pbs.twimg.com/profile_images/1741900634448871424/hAxhclZd_normal.jpg",false,false,false,false,"2/1/2024, 01.59.00"
"1830122474631282910","1603517366960209922","@aniesbaswedan Saran sj...jgn deket2 dgn cagub..nanti dikira calon jurkam.","910",0,3,1,0,0,false,"in",false,false,false,"1/9/2024, 12.56.14","aniesbaswedan","Ren widias","bu_trisno","Ren","widias","Indonesia ","Oposisi","","",232,275,290,14685,5850,0,0,232,,false,"https://pbs.twimg.com/profile_banners/1603517366960209922/1717401540","https://www.x.com/bu_trisno","https://pbs.twimg.com/profile_images/1797537672904466432/6CbU7OwX_normal.jpg",false,false,false,false,"16/12/2022, 05.30.00"
"1830169786615283802","1594654440401039361","@aniesbaswedan Sehat-sehat terus abah","512",0,1,1,0,0,false,"in",false,false,false,"1/9/2024, 16.04.14","aniesbaswedan","OscarOasis","YuliSet21688145","OscarOasis","","Indonesian moslems fighters","Muslim yang belum taat","","",42,88,59,3737,5992,0,0,42,,false,"https://pbs.twimg.com/profile_banners/1594654440401039361/1725180507","https://www.x.com/YuliSet21688145","https://pbs.twimg.com/profile_images/1789319152618143744/5hzRuNN2_normal.jpg",false,false,false,false,"21/11/2022, 18.30.43"
"1830133395264835901","1663159365120196608","@aniesbaswedan Abaaah 🫶🦉🤎  kapanpun Abah bikin ormas atau partai. Teman2 di kampus dukung Abah. 😊😊","231",0,2,0,0,0,false,"in",false,false,false,"1/9/2024, 13.39.38","aniesbaswedan","Sekar Langit","RheaZahiya","Sekar","Langit","France","Akun remahan suka2,sekedar numpang lewat 🙋‍♀️","","",667,779,1233,5140,14007,0,0,667,,false,"https://pbs.twimg.com/profile_banners/1663159365120196608/1686876767","https://www.x.com/RheaZahiya","https://pbs.twimg.com/profile_images/1753188289929179136/wk1ZqeiE_normal.jpg",false,false,true,false,"29/5/2023, 19.25.00"
"1830199762060218502","1589309513106345984","@aniesbaswedan Kasihan buzzer2 aga berkurang kerjanya...soalnya pak Anis ga ikut Pilkada.","120",0,0,0,0,0,false,"in",false,false,false,"1/9/2024, 18.03.21","aniesbaswedan","Kang_bajigur 🔻","SemutRangrangGO","Kang_bajigur","🔻","Depok, Indonesia","Free Palestine 🇮🇩 🤝 🇵🇸  | Jalani dan nikmati prosesnya.","","",155,544,1590,12014,14623,0,0,155,,false,"https://pbs.twimg.com/profile_banners/1589309513106345984/1725202998","https://www.x.com/SemutRangrangGO","https://pbs.twimg.com/profile_images/1819689928022011904/wljiQJgl_normal.jpg",false,false,true,false,"7/11/2022, 00.32.33"
"1830138132039418110","1229970072585682945","@aniesbaswedan klo kata gw mah kang @ridwankamil harusnya udh insecure duluan sih 😮‍💨","1363",0,0,1,0,0,false,"in",false,false,false,"1/9/2024, 13.58.27","aniesbaswedan; ridwankamil","mimimi","IsmiFazrin","mimimi","","","","","",12,88,11,794,180,0,0,12,,false,"https://pbs.twimg.com/profile_banners/1229970072585682945/1582204522","https://www.x.com/IsmiFazrin","https://pbs.twimg.com/profile_images/1731622793530449920/tVERorEu_normal.jpg",false,false,false,false,"19/2/2020, 10.25.08"
"1830437516354404412","1669625075761582080","@aniesbaswedan Ayo masyarakat Jakarta yang merindukan pak Anies Rasyid Baswedan,kita lawan bersama para kartel parpol, dengan gerakan coblos semua","7",0,0,0,0,0,false,"in",false,false,false,"2/9/2024, 09.48.06","aniesbaswedan","Riyal pens","RiyalP41913","Riyal","pens","","","","",14,44,10,573,35,0,0,14,,false,,"https://www.x.com/RiyalP41913","https://pbs.twimg.com/profile_images/1830993107237941248/X8w9M3EK_normal.jpg",false,false,false,false,"16/6/2023, 15.37.58"
"1830211872974635468","1816409278129078272","@aniesbaswedan Sehat sehat lahir dan bathin ya pa Anies..... Allah SWT selalu memberi berkah dan kelancaran kepada kita semua.... sama aama berjuang....semangat selalu....","92",0,0,0,0,0,false,"in",false,false,false,"1/9/2024, 18.51.28","aniesbaswedan","Ardalam","ardalam05","Ardalam","","","","","",49,16,1,549,294,0,0,49,,false,,"https://www.x.com/ardalam05","https://pbs.twimg.com/profile_images/1816410710416740352/yh6Vounj_normal.jpg",false,false,false,false,"25/7/2024, 16.45.22"
