"User ID","Name","Username","Bio","Location","Profile URL","Profile Image URL","Tweet Count","Follower Count","Following Count","Favorites Count","Media Count","Can DM","Created At","Verified","Blue Verified","Default Profile","Default Profile Image","Protected"
"1763561664404971520","Zahra Talitha","tlithadd","","","https://x.com/tlithadd","https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","0","1","1","5","0","Yes","Fri Mar 01 13:47:46 +0000 2024","No","No","Yes","Yes","Yes"
"1380137373623754756","apid","skaiviu","","sby","https://x.com/skaiviu","https://pbs.twimg.com/profile_images/1827225616057323520/GiPe4-Fu_normal.jpg","9964","249","281","217732","81","Yes","Thu Apr 08 12:36:40 +0000 2021","No","No","Yes","No","No"
"1201790251691175936","raden?","radenjey","ds","sby","https://x.com/radenjey","https://pbs.twimg.com/profile_images/1671786896408862720/HFXJSVJI_normal.jpg","1550","31","98","1033","114","Yes","Tue Dec 03 09:08:28 +0000 2019","No","No","Yes","No","No"
